,Titulo,objetivo
2546,"To Each, Her Own","MovieSarahStern,Jean-ChristopheFolly,JuliaPiaton,AriéElmaleh,ClémentinePoidatz,StéphaneDebac,RichardBerry,CatherineJacobMyriamAzizaFranceComedies,InternationalMovies,LGBTQMovies95minComedies,InternationalMovies,LGBTQMoviesJunJunTV-MASunday"
2547,Bruno and Boots: Go Jump in the Pool,"MovieJonnyGray,CallanPotter,PeterKeleghan,HannahVandenbygaart,KianaMadeira,JoshuaKilimnik,DrewHaytaoglu,IsiahLea,ScottThompson,CarolineRheaVivienoCaldinelliCanadaChildren&FamilyMovies,Comedies91minChildren&FamilyMovies,ComediesJunJunTV-PGSaturday"
2548,Bruno and Boots: This Can't Be Happening at Macdonald Hall,"MovieJonnyGray,CallanPotter,PeterKeleghan,CarolineRheaVivienoCaldinelliCanadaChildren&FamilyMovies,Comedies90minChildren&FamilyMovies,ComediesJunJunTV-PGSaturday"
2549,Justin Time GO!,"TV ShowDrewDavis,ScottMcCord,JennaWarrenDiretorDesconhecidoCanadaKids'TV1SeasonKids'TVJunJunTV-YFriday"
2550,Sofía Niño de Rivera: Exposed,"MovieSofíaNiñodeRiveraRaúlCampos,JanSuterMexicoStand-UpComedy80minStand-UpComedyJunJunTV-MAFriday"
2551,The Fundamentals of Caring,"MoviePaulRudd,CraigRoberts,SelenaGomez,JenniferEhle,MeganFerguson,FrederickWeller,BobbyCannavaleRobBurnettUnitedStatesComedies,Dramas,IndependentMovies97minComedies,Dramas,IndependentMoviesJunJunTV-MAFriday"
2552,The Long Goodbye: The Kara Tippetts Story,"MovieElencoDesconhecidoJayLyonsUnitedStatesDocumentaries,Faith&Spirituality87minDocumentaries,Faith&SpiritualityJunJunTV-PGSunday"
2553,Hungerford,"MovieDrewCasson,GeorgiaBradley,SamCarter,TomScarlett,NigelMorgan,ColinStark,KittySpeedDrewCassonUnitedKingdomHorrorMovies,IndependentMovies,InternationalMovies79minHorrorMovies,IndependentMovies,InternationalMoviesJunJunTV-MASaturday"
2554,Life Sentence,TV ShowLucyHaleDiretorDesconhecidoUnitedStatesTVDramas1SeasonTVDramasJunJunTV-14Saturday
2555,Tarzan,"MovieTonyGoldwyn,MinnieDriver,GlennClose,BrianBlessed,NigelHawthorne,RosieO'Donnell,LanceHenriksen,WayneKnight,AlexD.LinzChrisBuck,KevinLimaUnitedStatesChildren&FamilyMovies89minChildren&FamilyMoviesJunJunGSaturday"
2556,The Darkest Dawn,"MovieElencoDesconhecidoDiretorDesconhecidoUnitedKingdomAction&Adventure,InternationalMovies,Sci-Fi&Fantasy75minAction&Adventure,InternationalMovies,Sci-Fi&FantasyJunJunTV-MASaturday"
2557,Yoko,"TV ShowEileenStevens,AlysonLeighRosenfeld,SarahNatochenny,H.D.QuinnDiretorDesconhecidoPaisDesconhecidoKids'TV1SeasonKids'TVJunJunTV-YSaturday"
2558,Yoko and His Friends,"MovieEileenStevens,AlysonLeighRosenfeld,SarahNatochenny,H.D.QuinnDiretorDesconhecidoRussia,SpainChildren&FamilyMovies78minChildren&FamilyMoviesJunJunTV-YSaturday"
2559,American Anarchist,MovieWilliamPowellCharlieSiskelUnitedStatesDocumentaries81minDocumentariesJunJunTV-MAFriday
2560,Nobody Speak: Trials of the Free Press,"MovieElencoDesconhecidoBrianKnappenbergerNetherlands,UnitedStatesDocumentaries96minDocumentariesJunJunTV-14Friday"
2561,Tarzan 2,"MovieHarrisonChad,GeorgeCarlin,BradGarrett,RonPerlman,EstelleHarris,GlennClose,LanceHenriksen,BrendaGrate,HarrisonFahnBrianSmithUnitedStatesChildren&FamilyMovies72minChildren&FamilyMoviesJunJunGFriday"
2562,You Get Me,"MovieBellaThorne,HalstonSage,TaylorJohnSmith,NashGrier,AnnaAkana,KathrynMorris,BrigidBrannagh,KimberlyWilliams-Paisley,TylerHansonBrentBonacorsoUnitedStatesDramas,Thrillers89minDramas,ThrillersJunJunTV-MAFriday"
2563,Advantageous,"MovieJacquelineKim,JamesUrbaniak,FreyaAdams,KenJeong,JenniferEhle,SamanthaKim,TroiZee,OliviaHorton,JenniferIkeda,MercedesGriffethJenniferPhangUnitedStatesDramas,IndependentMovies,Sci-Fi&Fantasy92minDramas,IndependentMovies,Sci-Fi&FantasyJunJunNRTuesday"
2564,Salem: His Sister's Father,"MovieMohamedRagab,HoreyaFarghaly,AytenAmer,MohamedAlShakankeery,ReemAlBaroudi,BadriaTolba,HeshamIsmail,MaherEssam,HassanAbdulfattah,AliaaAl-HusseiniMohamedHamdyEgyptDramas,InternationalMovies99minDramas,InternationalMoviesJunJunTV-14Saturday"
2565,Triple Threat,"MovieTonyJaa,IkoUwais,TigerChen,ScottAdkins,CelinaJade,MichaelBisping,MichaelJaiWhite,JeeJaYanin,DominiquieVandenbergJesseV.Johnson,JesseJohnsonThailand,China,UnitedStatesAction&Adventure,InternationalMovies96minAction&Adventure,InternationalMoviesJunJunNRSaturday"
2566,Brain on Fire,"MovieChloëGraceMoretz,ThomasMann,RichardArmitage,JennySlate,Carrie-AnneMoss,TylerPerry,AlexZaharaGerardBarrettUnitedStates,Canada,IrelandDramas,IndependentMovies,InternationalMovies89minDramas,IndependentMovies,InternationalMoviesJunJunPG-13Friday"
2567,Cooking on High,"TV ShowJoshLeyva,NgaioBealumDiretorDesconhecidoUnitedStatesRealityTV1SeasonRealityTVJunJunTV-MAFriday"
2568,Derren Brown: Miracle,MovieDerrenBrownDiretorDesconhecidoUnitedKingdomInternationalMovies74minInternationalMoviesJunJunTV-MAFriday
2569,Us and Them,"MovieJingBoran,ZhouDongyu,ZhuangzhuangTian,QuZheming,ZhangZixianReneLiuChinaDramas,InternationalMovies,RomanticMovies119minDramas,InternationalMovies,RomanticMoviesJunJunTV-MAFriday"
2570,Bokeh,"MovieMaikaMonroe,MattO'Leary,ArnarJónsson,GunnarHelgason,BerglindRósSigurðardóttirGeoffreyOrthwein,AndrewSullivanUnitedStates,IcelandDramas,IndependentMovies,Sci-Fi&Fantasy92minDramas,IndependentMovies,Sci-Fi&FantasyJunJunTV-14Thursday"
2571,XX,"MovieNatalieBrown,JonathanWatton,MelanieLynskey,LindsayBurdge,SheilaVand,CaseyAdams,BreedaWool,AngelaTrimbur,MorganKrantz,ChristinaKirk,KyleAllen,MikeDoyleJovankaVuckovic,AnnieClark,RoxanneBenjamin,KarynKusamaCanada,UnitedStatesHorrorMovies81minHorrorMoviesJunJunRThursday"
2572,Blood Will Tell,"MovieOscarMartínez,DoloresFonzi,DiegoVelázquez,PaulinaGarcia,LuisGnecco,MalenaSánchez,EmilioVodanovich,NormanBriskiMiguelCohan,MiguelCohanArgentina,UnitedStatesDramas,IndependentMovies,InternationalMovies113minDramas,IndependentMovies,InternationalMoviesJunJunTV-MAFriday"
2573,Bolívar,"TV ShowLuisGerónimoAbreu,JoséRamónBarreto,ErnestoBenjumea,FélixAntequera,JeffersonQuiñones,ShanyNadan,MaríaJoséVargas,HansMartínez,MauroMauad,ÁlvaroBayona,RosmeriMarval,IreneEsser,NohelyArteagaLuisAlbertoRestrepo,AndrésBeltrán,JaimeRayoColombiaInternationalTVShows,RomanticTVShows,Spanish-LanguageTVShows1SeasonInternationalTVShows,RomanticTVShows,Spanish-LanguageTVShowsJunJunTV-MAFriday"
2574,EVANGELION: DEATH (TRUE)²,"MovieMegumiOgata,KotonoMitsuishi,MegumiHayashibara,YukoMiyamura,YurikoYamaguchi,FumihikoTachiki,MotomuKiyokawa,KoichiYamadera,TakehitoKoyasu,HiroYuki,MikiNagasawa,Mugihito,AkiraIshidaHideakiAnnoJapanAction&Adventure,AnimeFeatures,InternationalMovies69minAction&Adventure,AnimeFeatures,InternationalMoviesJunJunTV-14Friday"
2575,Good Luck,"MovieAhmedEid,MayKassab,DiaaElMerghany,SamyMaghawry,BadriaTolba,HassanAbdulfattah,AhmedSafwat,SayedSadek,LailaGamalTarekAbdelMoatyEgyptDramas,InternationalMovies99minDramas,InternationalMoviesJunJunTV-MAFriday"
2576,Melodies of Life - Born This Way,"TV ShowElencoDesconhecidoDiretorDesconhecidoPaisDesconhecidoInternationalTVShows,RomanticTVShows,TVComedies1SeasonInternationalTVShows,RomanticTVShows,TVComediesJunJunTV-14Friday"
2577,Mr. Iglesias,"TV ShowGabrielIglesias,SherriShepherd,JacobVargas,MaggieGeha,RichardGant,CreeCicchino,FabrizioGuido,OscarNuñezDiretorDesconhecidoUnitedStatesTVComedies1SeasonTVComediesJunJunTV-14Friday"
2578,Neon Genesis Evangelion,"TV ShowMegumiOgata,KotonoMitsuishi,YurikoYamaguchi,MegumiHayashibara,YukoMiyamura,FumihikoTachiki,AkiraIshida,MotomuKiyokawa,HiroYuki,MikiNagasawa,TakehitoKoyasu,TomokazuSeki,TetsuyaIwanaga,JunkoIwao,MugihitoDiretorDesconhecidoJapanAnimeSeries,InternationalTVShows1SeasonAnimeSeries,InternationalTVShowsJunJunTV-14Friday"
2579,The End of Evangelion,"MovieMegumiOgata,KotonoMitsuishi,MegumiHayashibara,YukoMiyamura,YurikoYamaguchi,FumihikoTachiki,MotomuKiyokawa,KoichiYamadera,TakehitoKoyasu,HiroYuki,MikiNagasawa,MariaKawamura,Mugihito,AkiraIshidaHideakiAnno,KazuyaTsurumakiJapanAction&Adventure,AnimeFeatures,InternationalMovies87minAction&Adventure,AnimeFeatures,InternationalMoviesJunJunTV-14Friday"
2580,Dangal,"MovieAamirKhan,SakshiTanwar,FatimaSanaShaikh,SanyaMalhotra,AparshaktiKhurana,ZairaWasim,SuhaniBhatnagar,RitwikSahoreNiteshTiwariIndiaDramas,InternationalMovies,SportsMovies161minDramas,InternationalMovies,SportsMoviesJunJunTV-PGWednesday"
2581,An Upper Egyptian,"MovieMohamedRamadan,RandaElBehery,NerminMaher,InasElNaggar,MayarElGheity,HassanAbdulfattah,SabriAbdulmonem,AlaaZenhom,AbdalahMishrif,MohamedSolimanIsmailFarouk,HazemFoudaPaisDesconhecidoComedies,Dramas,InternationalMovies85minComedies,Dramas,InternationalMoviesJunJunTV-MAThursday"
2582,Bewildered Bolbol,"MovieAhmedHelmy,Zeina,SheryAdel,EmySamirGhanim,YousefFawzy,YasserElTobgy,WaelSami,MaryamSalehKhaledMareiEgyptComedies,InternationalMovies,RomanticMovies112minComedies,InternationalMovies,RomanticMoviesJunJunTV-14Thursday"
2583,Rakkhosh,"MovieSanjayMishra,PriyankaBose,TannishthaChatterjee,BarunChanda,SonamoniJayantGadekar,AshwathBhatt,AtulMahaleAbhijitKokate,SrivinaySalianIndiaHorrorMovies,IndependentMovies,InternationalMovies116minHorrorMovies,IndependentMovies,InternationalMoviesJunJunTV-MAThursday"
2584,Reaction,"MovieMahmoudAbdelMoghny,AmrYoussef,HoreyaFarghaly,MahmoudElGendy,Entessar,DoniaElMasry,SabryAbdelMoniem,RaoufMustafa,AlaaZenhomHusamEl-GohariEgyptDramas,InternationalMovies99minDramas,InternationalMoviesJunJunTV-MAThursday"
2585,The Chord,"MovieMostafaShaban,GhadaAdel,ArwaGouda,AhmedSalahAl-Saadany,AshrafZaki,SawsanBadr,FatmaNasser,SaidSaleh,AliHassanein,MajedAbdulazimMagdyAl-HawwaryEgyptDramas,InternationalMovies101minDramas,InternationalMoviesJunJunTV-MAThursday"
2586,The Player,"MovieRamezGalal,EmySamirGhanim,EdwardFouad,HassanHosny,YousefFawzy,SamarGaber,RagaaAl-Geddawy,MahaAbouOuf,MaiEl-KadyAhmadEl-BadriPaisDesconhecidoComedies,InternationalMovies110minComedies,InternationalMoviesJunJunTV-MAThursday"
2587,The Wolf's Call,"MovieFrançoisCivil,OmarSy,MathieuKassovitz,RedaKateb,PaulaBeer,AlexisMichalik,Jean-YvesBerteloot,DamienBonnard,PierreCevaër,SébastienLibessartAntoninBaudryFranceDramas,InternationalMovies,Thrillers116minDramas,InternationalMovies,ThrillersJunJunTV-14Thursday"
2588,Three-Quarters Decent,"MovieMohamedRagab,LamittaFrangieh,MohsenMansour,RaniaMallah,MadlynTabar,MimiGamal,AhmedRateb,AhmedZaherMohamedHamdyPaisDesconhecidoComedies,Dramas,InternationalMovies96minComedies,Dramas,InternationalMoviesJunJunTV-MAThursday"
2589,Unruly Friends,"MovieKindaAllouch,AhmedSalahAl-Saadany,DinaFouad,AmrYoussef,AhmedSafwat,MadlynTabar,YasserAliMaher,NadiaFahmi,MenhaZaytoon,TamimAbdou,MostafaAbdElsalamSherifMandourEgyptInternationalMovies,Thrillers83minInternationalMovies,ThrillersJunJunTV-14Thursday"
2590,The Vietnam War: A Film by Ken Burns and Lynn Novick,"TV ShowElencoDesconhecidoKenBurns,LynnNovickUnitedStatesDocuseries1SeasonDocuseriesJunJunTV-MAWednesday"
2591,Amar Akbar & Tony,"MovieRezKempton,SamVincenti,MartinDelaney,KarenDavid,LauraAikman,GoldyNotay,MeeraSyal,NinaWadia,TanveerGhani,AmritaAchariaAtulMalhotraUnitedKingdomComedies,Dramas,InternationalMovies92minComedies,Dramas,InternationalMoviesJunJunTV-MATuesday"
2592,Puss in Book: Trapped in an Epic Tale,"MovieEricBauza,JaymaMays,MariaBamford,JeffBennett,GreyGriffin,CarlaJimenez,PaulRugg,JoshuaRushRoyBurdine,JohnnyCastucianoUnitedStatesChildren&FamilyMovies,Comedies24minChildren&FamilyMovies,ComediesJunJunTV-Y7Tuesday"
2593,Rory Scovel Tries Stand-Up for the First Time,MovieRoryScovelScottMoranUnitedStatesStand-UpComedy66minStand-UpComedyJunJunTV-MATuesday
2594,Life Story,"TV ShowDavidAttenboroughDiretorDesconhecidoUnitedKingdomBritishTVShows,Docuseries,Science&NatureTV1SeasonBritishTVShows,Docuseries,Science&NatureTVJunJunTV-14Monday"
2595,Arthdal Chronicles,"TV ShowSongJoong-ki,JangDong-gun,KimJi-won,KimOk-vin,KimEui-sung,ChoSeong-ha,LeeDo-gyeong,ParkHae-joon,ParkByung-eunDiretorDesconhecidoSouthKoreaInternationalTVShows,KoreanTVShows,TVAction&Adventure1SeasonInternationalTVShows,KoreanTVShows,TVAction&AdventureJunJunTV-14Sunday"
2596,"Good Night, and Good Luck","MovieDavidStrathairn,PatriciaClarkson,GeorgeClooney,JeffDaniels,RobertDowneyJr.,FrankLangella,RayWise,RobertJohnBurke,TateDonovan,AlexBorstein,MattRoss,GrantHeslovGeorgeClooneyUnitedStates,France,UnitedKingdom,JapanDramas93minDramasJunJunPGSunday"
2597,Krutant,"MovieSuyogRajendraGorhe,SandeepKulkarni,VidyaKaranjikar,SayliPatilDattaMohanBhandareIndiaDramas,InternationalMovies114minDramas,InternationalMoviesJunJunTV-14Sunday"
2598,The Duel,"MovieWoodyHarrelson,LiamHemsworth,AliceBraga,EmoryCohen,FelicityPrice,JoséZúñiga,WilliamSadlerKieranDarcy-SmithUnitedStatesDramas110minDramasJunJunRSunday"
2599,The King's Speech,"MovieColinFirth,GeoffreyRush,HelenaBonhamCarter,GuyPearce,TimothySpall,DerekJacobi,JenniferEhle,AnthonyAndrews,ClaireBloom,EveBest,MichaelGambonTomHooperUnitedKingdom,UnitedStates,AustraliaDramas,InternationalMovies118minDramas,InternationalMoviesJunJunRSaturday"
2600,1898: Our Last Men in the Philippines,"MovieLuisTosar,JavierGutiérrez,ÁlvaroCervantes,KarraElejalde,CarlosHipólito,RicardoGómez,PatrickCriado,EduardFernández,MiguelHerrán,EmilioPalaciosSalvadorCalvoSpainDramas,InternationalMovies130minDramas,InternationalMoviesJunJunRFriday"
2601,Crashing,"TV ShowPhoebeWaller-Bridge,JonathanBailey,AdrianScarborough,DamienMolony,LouiseFord,JulieDray,AmitShahDiretorDesconhecidoUnitedKingdomBritishTVShows,InternationalTVShows,RomanticTVShows1SeasonBritishTVShows,InternationalTVShows,RomanticTVShowsJunJunTV-MAFriday"
2602,Lucid Dream,"MovieKoSoo,Kyung-guSeol,Yu-chunPark,Hye-jungKang,In-hwanPark,Ho-jinChunJun-seongKimSouthKoreaInternationalMovies,Sci-Fi&Fantasy,Thrillers102minInternationalMovies,Sci-Fi&Fantasy,ThrillersJunJunTV-MAFriday"
2603,The Homecoming,"TV ShowSe-yoonYoo,TylerRasch,GuillaumePatry,NikolaiJohnsenDiretorDesconhecidoPaisDesconhecidoInternationalTVShows,KoreanTVShows,RealityTV1SeasonInternationalTVShows,KoreanTVShows,RealityTVJunJunTV-PGFriday"
2604,Hibana: Spark,"TV ShowKentoHayashi,KazukiNamioka,MugiKadowaki,MasaoYoshii,HideakiMurata,Nahana,SayakaYamamoto,ShotaSometani,TomorowoTaguchi,KaoruKobayashiDiretorDesconhecidoJapanInternationalTVShows,TVDramas1SeasonInternationalTVShows,TVDramasJunJunTV-MAThursday"
2605,Beats,"MovieKhalilEverage,AnthonyAnderson,UzoAduba,EmayatzyCorinealdi,PaulWalterHauser,DaveEast,SeandreaSledge,AshleyJackson,MeganSousaChrisRobinsonUnitedStatesDramas,IndependentMovies,Music&Musicals110minDramas,IndependentMovies,Music&MusicalsJunJunTV-MAWednesday"
2606,Memory Games,"MovieElencoDesconhecidoJanetTobias,ClausWehlischGermany,UnitedStates,SwedenDocumentaries86minDocumentariesJunJunTV-14Wednesday"
2607,Running for Grace,"MovieRyanPotter,MattDillon,JimCaviezel,OliviaRitchie,JulietMills,NickBoraine,RumiOyamaDavidL.CunninghamUnitedStatesDramas,RomanticMovies110minDramas,RomanticMoviesJunJunTV-14Wednesday"
2608,The Edge of Democracy,"MovieElencoDesconhecidoPetraCostaBrazilDocumentaries,InternationalMovies122minDocumentaries,InternationalMoviesJunJunTV-14Wednesday"
2609,VS.,"MovieConnorSwindells,FolaEvans-Akingbola,NicholasPinnock,RuthSheen,EmilyTaaffe,ShottyHorroh,PaigeMeade,ElliotBarnes-Worrell,JoivanWade,YoussefBerouain,JurellCarter,EllieJamesEdLillyUnitedKingdomDramas99minDramasJunJunTV-MAWednesday"
2610,Hannah Gadsby: Nanette,"MovieHannahGadsbyMadeleineParry,JonOlbAustraliaStand-UpComedy70minStand-UpComedyJunJunTV-MATuesday"
2611,The Underwear,"TV ShowThanabordeeJaiyen,EmikaGrantEmma,TantimedhChisanusha,SiribanchawanJidapa,SupanutSudjindaDiretorDesconhecidoPaisDesconhecidoInternationalTVShows,TVDramas,TeenTVShows1SeasonInternationalTVShows,TVDramas,TeenTVShowsJunJunTV-MATuesday"
2612,The Incident,"MovieRaúlMéndez,NaileaNorvind,HernánMendoza,HumbertoBusto,FernandoÁlvarezRebeil,GabrielSantoyo,PaulinaMontemayor,HéctorMendoza,LeonelTinajero,MarcosMorenoIsaacEzbanMexicoInternationalMovies,Sci-Fi&Fantasy,Thrillers100minInternationalMovies,Sci-Fi&Fantasy,ThrillersJunJunTV-MAMonday"
2613,Adam Devine: Best Time of Our Lives,MovieAdamDevineJayKarasUnitedStatesStand-UpComedy59minStand-UpComedyJunJunTV-MATuesday
2614,Antariksha Ke Rakhwale,"MovieSonalKaushal,RupaBhimani,JulieTejwani,SabinaMalik,JignaBharadhwaj,RajeshKawaAnirbanMajumderPaisDesconhecidoChildren&FamilyMovies65minChildren&FamilyMoviesJunJunTV-Y7-FVTuesday"
2615,Big Kill,"MovieChristophSanders,JasonPatric,ClintGlennHummel,LouDiamondPhillips,DannyTrejo,ScottMartin,ElizabethMcLaughlin,StephanieBeran,K.C.Clyde,MichaelParéScottMartinUnitedStatesAction&Adventure126minAction&AdventureJunJunRTuesday"
2616,Bob Lazar: Area 51 & Flying Saucers,MovieRobertLazarJeremyKenyonLockyerCorbellUnitedStatesDocumentaries97minDocumentariesJunJunTV-MATuesday
2617,Dragonkala Ka Rahasya,MovieElencoDesconhecidoRajivChilakaPaisDesconhecidoChildren&FamilyMovies68minChildren&FamilyMoviesJunJunTV-Y7-FVTuesday
2618,Samudri Lootere,"MovieSonalKaushal,RupaBhimani,JulieTejwani,SabinaMalik,JignaBharadhwaj,RajeshKawaAnirbanMajumderPaisDesconhecidoChildren&FamilyMovies65minChildren&FamilyMoviesJunJunTV-Y7-FVTuesday"
2619,Super Bheem Bana Vajraveer,"MovieSonalKaushal,RupaBhimani,JulieTejwani,SabinaMalik,JignaBharadhwaj,RajeshKawaSumitDasPaisDesconhecidoChildren&FamilyMovies63minChildren&FamilyMoviesJunJunTV-Y7-FVTuesday"
2620,The Wrong Babysitter,"MovieDaphneZuniga,SeannGallagher,LisaMarieCaruk,MattBellefleur,AvaHughes,BrittIrvin,LochlynMunroGeorgeMendelukCanadaThrillers89minThrillersJunJunTV-14Tuesday"
2621,Club de Cuervos Presents: The Ballad of Hugo Sánchez,"TV ShowJesúsZavala,IanisGuerrero,MauroMauad,RenatoGutz,RaúlBriones,MarkinLópez,GuillermoDorantes,MarthaClaudiaMoreno,AldoEscalante,SergioMayer,PaolaMoreno,PedroMiguelArceDiretorDesconhecidoUnitedStatesInternationalTVShows,Spanish-LanguageTVShows,TVComedies1SeasonInternationalTVShows,Spanish-LanguageTVShows,TVComediesJunJunTV-MAMonday"
2622,Encerrados,"TV ShowLuisMachín,MariaMerlino,FabiánVena,AnaChalentano,NellyPrince,VictorLaplace,SilviaPérez,PilarGamboa,AlbertoAjaka,FabioAlberti,MartinSlipak,MartínPiroyansky,PaulaRansenbergDiretorDesconhecidoPaisDesconhecidoInternationalTVShows,Spanish-LanguageTVShows,TVComedies1SeasonInternationalTVShows,Spanish-LanguageTVShows,TVComediesJunJunTV-MAMonday"
2623,Love Rhythms - Accidental Daddy,"TV ShowUdomTaephanitDiretorDesconhecidoPaisDesconhecidoInternationalTVShows,TVComedies,TVDramas1SeasonInternationalTVShows,TVComedies,TVDramasJunJunTV-MAMonday"
2624,Ip Man 3,"MovieDonnieYen,ZhangJin,LynnHung,PatrickTam,KarenaNg,KentCheng,BryanLeung,LouisCheung,DannyChan,MikeTyson,BabyjohnChoiWilsonYipChina,HongKongAction&Adventure,Dramas,InternationalMovies105minAction&Adventure,Dramas,InternationalMoviesJunJunPG-13Saturday"
2625,The Stanford Prison Experiment,"MovieBillyCrudup,MichaelAngarano,EzraMiller,TyeSheridan,KeirGilchrist,OliviaThirlby,NelsanEllis,ThomasMann,MoisesArias,GaiusCharlesKylePatrickAlvarezUnitedStatesDramas,IndependentMovies,Thrillers122minDramas,IndependentMovies,ThrillersJunJunRSaturday"
2626,Cop Car,"MovieKevinBacon,JamesFreedson-Jackson,HaysWellford,CamrynManheim,SheaWhigham,SeanHartley,KyraSedgwick,LoiNguyenJonWattsUnitedStatesThrillers88minThrillersJunJunRSunday"
2627,Right Here Right Now,"MovieNiklasBruhn,DavidSchütter,TinkaFurst,CorinnaHarfouch,BelaB.Felsenheimer,MartinaSchöne-Radunski,MathiasBloech,TannaBarthel,FelixMariaZeppenfeld,KalleSchwensenJakobLassGermanyComedies,Dramas,IndependentMovies91minComedies,Dramas,IndependentMoviesJunJunTV-MASunday"
2628,Counterpunch,"MovieElencoDesconhecidoJayBulgerUnitedStatesDocumentaries,SportsMovies91minDocumentaries,SportsMoviesJunJunTV-MAFriday"
2629,The Real Miyagi,"MovieFumioDemuraKevinDerekUnitedStates,Canada,Japan,PanamaDocumentaries,SportsMovies81minDocumentaries,SportsMoviesJunJunTV-PGFriday"
2630,What the Health,"MovieElencoDesconhecidoKipAndersen,KeeganKuhnUnitedStatesDocumentaries92minDocumentariesJunJunTV-PGFriday"
2631,3 Seconds Divorce,"MovieElencoDesconhecidoShaziaJavedCanadaDocumentaries,Faith&Spirituality53minDocumentaries,Faith&SpiritualityJunJunTV-14Saturday"
2632,Charité at War,"TV ShowMalaEmde,UlrichNoethen,JannikSchümann,ArtjomGilz,LuiseWolfram,JacobMatschenz,Frida-LovisaHamann,LukasMiko,SusanneBöweDiretorDesconhecidoPaisDesconhecidoInternationalTVShows,TVDramas1SeasonInternationalTVShows,TVDramasJunJunTV-MASaturday"
2633,Kill la Kill,"TV ShowAmiKoshimizu,ToshihikoSeki,RyokaYuzuki,AyaSuzaki,ShinichiroMiki,TetsuInada,NobuyukiHiyama,MayumiShintani,HiroyukiYoshino,RomiParkDiretorDesconhecidoJapanAnimeSeries,InternationalTVShows1SeasonAnimeSeries,InternationalTVShowsJunJunTV-MASaturday"
2634,Life Overtakes Me,"MovieElencoDesconhecidoJohnHaptas,KristineSamuelsonSweden,UnitedStatesDocumentaries40minDocumentariesJunJunTV-PGSaturday"
2635,Luckee,"MovieAbhayMahajan,DiptiSati,MayurMore,ShubhangiTambale,ChetanDalvi,NileshDiwekarSanjayJadhavIndiaComedies,InternationalMovies,RomanticMovies113minComedies,InternationalMovies,RomanticMoviesJunJunTV-14Saturday"
2636,Monopoly (The Bank Of Luck),"MovieMohamedMamdouh,MohammedTharwat,AkramHosnyAhmedElGendyEgyptComedies,InternationalMovies117minComedies,InternationalMoviesJunJunTV-MASaturday"
2637,Pihu,"MoviePihuMyraVishwakarmaVinodKapriIndiaDramas,IndependentMovies,InternationalMovies90minDramas,IndependentMovies,InternationalMoviesJunJunTV-14Saturday"
2638,Puella Magi Madoka Magica,"TV ShowAoiYuki,ChiwaSaito,KaoriMizuhashi,EriKitamura,EmiriKato,AiNonakaDiretorDesconhecidoJapanAnimeSeries,InternationalTVShows1SeasonAnimeSeries,InternationalTVShowsJunJunTV-14Saturday"
2639,Somewhere Only We Know,"TV ShowZhangChao,LiTingting,ChenBohao,SunJialing,ZhangZhang,LiJiuxiao,DengYuli,LiHuan,FangWenqiang,GongRuiDiretorDesconhecidoChinaInternationalTVShows,RomanticTVShows,TVComedies1SeasonInternationalTVShows,RomanticTVShows,TVComediesJunJunTV-14Saturday"
2640,The Alcàsser Murders,"TV ShowElencoDesconhecidoElíasLeónSpainCrimeTVShows,Docuseries,InternationalTVShows1SeasonCrimeTVShows,Docuseries,InternationalTVShowsJunJunTV-MASaturday"
2641,Unit 42,"TV ShowPatrickRidremont,ConstanceGay,TomAudenaert,RodaFawaz,DanitzaAthanassiadisDiretorDesconhecidoBelgiumCrimeTVShows,InternationalTVShows,TVDramas1SeasonCrimeTVShows,InternationalTVShows,TVDramasJunJunTV-MASaturday"
2642,Chronicle of an Escape,"MovieRodrigodelaSerna,PabloEcharri,NazarenoCasero,LautaroDelgado,MatíasMarmorato,MartínUrruty,CésarAlbarracín,GuillermoFernandez,DanielDiBiaseIsraelAdriánCaetanoArgentinaDramas,InternationalMovies,Thrillers104minDramas,InternationalMovies,ThrillersJunJunRFriday"
2643,LEGO House - Home of the Brick,"MovieBjarkeIngelsAndersFalck,StinusMorellVithnerPaisDesconhecidoDocumentaries,InternationalMovies48minDocumentaries,InternationalMoviesJunJunTV-GFriday"
2644,Lust Stories,"MovieVickyKaushal,BhumiPednekar,RadhikaApte,NehaDhupia,ManishaKoirala,AkashThosar,RandeepJha,NeilBhoopalam,JaideepAhlawat,SanjayKapoor,KiaraAdvaniZoyaAkhtar,KaranJohar,AnuragKashyap,DibakarBanerjeeIndiaComedies,Dramas,InternationalMovies121minComedies,Dramas,InternationalMoviesJunJunTV-MAFriday"
2645,Maktub,"MovieGuyAmir,HananSavyon,ItzikCohen,IgalNaorOdedRazIsraelComedies,InternationalMovies106minComedies,InternationalMoviesJunJunTV-MAFriday"
2646,Pacificum: Return to the Ocean,"MovieElencoDesconhecidoMarianaTschudi,HéctorGálvezPeruDocumentaries,InternationalMovies74minDocumentaries,InternationalMoviesJunJunTV-GFriday"
2647,Set It Up,"MovieZoeyDeutch,GlenPowell,LucyLiu,TayeDiggs,MeredithHagner,PeteDavidson,TitussBurgessClaireScanlonUnitedStatesComedies,RomanticMovies106minComedies,RomanticMoviesJunJunTV-14Friday"
2648,Sunday's Illness,"MovieBárbaraLennie,SusiSánchez,MiguelÁngelSolá,RichardBohringerRamónSalazarSpainDramas,IndependentMovies,InternationalMovies113minDramas,IndependentMovies,InternationalMoviesJunJunTV-14Friday"
