,Titulo,objetivo
34,Archibald's Next Big Thing,"TV ShowTonyHale,RosamundPike,JordanFisher,ChelseaKane,AdamPally,KariWahlgrenDiretorDesconhecidoPaisDesconhecidoKids'TV,TVComedies1SeasonKids'TV,TVComediesSepSepTV-Y7Friday"
35,Article 15,"MovieAyushmannKhurrana,Nassar,ManojPahwa,KumudMishra,IshaTalwar,SayaniGupta,MohammedZeeshanAyyub,SubhrajyotiBarat,SushilPandey,AakashDabhadeAnubhavSinhaIndiaDramas,InternationalMovies,Thrillers125minDramas,InternationalMovies,ThrillersSepSepTV-MAFriday"
36,Care of Kancharapalem,"MovieSubbaRaoVepada,RadhaBessy,KesavaKarri,NithyasriGoru,KarthikRathnam,PraneethaPatnaik,MohanBhagath,PraveenaParuchuriMahaVenkateshPaisDesconhecidoComedies,Dramas,IndependentMovies142minComedies,Dramas,IndependentMoviesSepSepTV-14Friday"
37,Ee Nagaraniki Emaindi,"MovieVishwaksenNaidu,SushanthReddy,AbhinavGomatam,VenkateshKakumanu,AnishaAmbrose,SimranChoudharyTharunBhasckerIndiaComedies,InternationalMovies133minComedies,InternationalMoviesSepSepTV-14Friday"
38,Kill Me If You Dare,"MovieMuratBoz,SedaBakan,AçelyaTopaloğlu,ÖzgürEmreYıldırım,SedaGüven,YosiMizrahi,DilşadŞimşek,AliYoğurtçuoğluŞenolSönmezPaisDesconhecidoComedies,InternationalMovies,RomanticMovies100minComedies,InternationalMovies,RomanticMoviesSepSepTV-14Friday"
39,The Spy,"TV ShowSachaBaronCohen,NoahEmmerich,HadarRatzonRotem,AlexanderSiddig,WaleedZuaiter,NassimLyesDiretorDesconhecidoFranceInternationalTVShows,TVDramas,TVThrillers1SeasonInternationalTVShows,TVDramas,TVThrillersSepSepTV-MAFriday"
40,Hell and Back,"MovieNickSwardson,MilaKunis,BobOdenkirk,T.J.Miller,RobRiggle,SusanSarandon,DannyMcBride,JenniferCoolidge,JohnFarley,MariaBamfordTomGianas,RossR.ShumanUnitedStatesAction&Adventure,Comedies,IndependentMovies86minAction&Adventure,Comedies,IndependentMoviesSepSepRThursday"
41,PK,"MovieAamirKhan,AnuskhaSharma,SanjayDutt,SaurabhShukla,ParikshatSahni,SushantSinghRajput,BomanIrani,RukhsarRajkumarHiraniIndiaComedies,Dramas,InternationalMovies146minComedies,Dramas,InternationalMoviesSepSepTV-14Thursday"
42,Hard Tide,"MovieNathanaelWiseman,MemFerda,AlexandraNewick,OliverStark,KatGellin,AndyLucas,RalphBrown,BeverlyHillsRobertOsman,NathanaelWisemanUnitedKingdomDramas,IndependentMovies79minDramas,IndependentMoviesSepSepTV-MAWednesday"
43,Elstree 1976,"MoviePaulBlake,JeremyBulloch,JohnChapman,AnthonyForrest,LaurieGoode,GarrickHagon,DerekLyons,AngusMacInnes,DavidProwse,PamRoseJonSpiraUnitedKingdomDocumentaries102minDocumentariesSepSepTV-PGTuesday"
44,American Factory: A Conversation with the Obamas,"MoviePresidentBarackObama,MichelleObama,JuliaReichert,StevenBognarDiretorDesconhecidoPaisDesconhecidoDocumentaries10minDocumentariesSepSepTV-GThursday"
45,ATM,"MovieChantavitDhanasevi,PreechayaPongthananikorn,ChaleumpolTikumpornteerawong,ThawatPornrattanaprasert,SananthachatThanapatpisal,PongkoolSuebsung,PuttachatPongsuchat,GornpopJanjaroen,YaneeTramoth,PongsatornJongwilakMezTharatornUnitedStates,CanadaComedies,InternationalMovies,RomanticMovies122minComedies,InternationalMovies,RomanticMoviesSepSepTV-14Wednesday"
46,Bangkok Traffic (Love) Story,"MovieTheeradejWongpuapan,SirinHorwang,UngsumalynnSirapatsakmetha,PanissaraPhimpru,TaksaornPaksukcharern,CharlieTrairat,KazukiYanoAdisornTresirikasemThailandComedies,InternationalMovies,RomanticMovies126minComedies,InternationalMovies,RomanticMoviesSepSepTV-14Wednesday"
47,I Fine... Thank You... Love You,"MoviePreechayaPongthananikorn,SunnySuwanmethanont,SoraAoi,PuttachatPongsuchat,PopetornSoonthornyanakijMezTharatornThailandComedies,InternationalMovies,RomanticMovies116minComedies,InternationalMovies,RomanticMoviesSepSepTV-14Wednesday"
48,One Day,"MovieChantavitDhanasevi,NitthaJirayungyurn,TheerapatSajakul,PrimBulakul,KrisSrepoomseth,SomyosMatures,SutthatipWutichaipradit,RermthonKemapech,KazSawamuraBanjongPisanthanakunThailandDramas,InternationalMovies,RomanticMovies135minDramas,InternationalMovies,RomanticMoviesSepSepTV-PGWednesday"
49,Phobia 2,"MovieJirayuLa-ongmanee,CharlieTrairat,WorrawechDanuwong,MarshaWattanapanich,NicoleTheriault,ChumphornThepphithak,GachaPlienwithi,SuteerushChannukool,PeeratchaiRoompol,NattapongChartpongBanjongPisanthanakun,PaweenPurikitpanya,SongyosSugmakanan,ParkpoomWongpoom,VisutePoolvoralaksThailandHorrorMovies,InternationalMovies125minHorrorMovies,InternationalMoviesSepSepTV-MAWednesday"
50,Shutter,"MovieAnandaEveringham,NatthaweeranuchThongmee,AchitaSikamana,UnnopChanpaibool,TitikarnTongprasearth,SivagornMuttamara,ChachchayaChalemphol,KachormsakNaruepatrBanjongPisanthanakun,ParkpoomWongpoomThailandHorrorMovies,InternationalMovies96minHorrorMovies,InternationalMoviesSepSepTV-MAWednesday"
51,Suckseed,"MovieJirayuLa-ongmanee,PacharaChirathivat,NattashaNauljam,ThawatPornrattanaprasertChayanopBoonprakobThailandComedies,InternationalMovies130minComedies,InternationalMoviesSepSepTV-MAWednesday"
52,Carrie Pilby,"MovieBelPowley,NathanLane,VanessaBayer,GabrielByrne,JasonRitter,ColinO'Donoghue,WilliamMoseley,DesminBorgesSusanJohnsonUnitedStatesComedies,Dramas98minComedies,DramasSepSepTV-14Tuesday"
53,Marc Maron: Too Real,MovieMarcMaronLynnSheltonUnitedStatesStand-UpComedy70minStand-UpComedySepSepTV-MATuesday
54,No Tomorrow,"TV ShowJoshuaSasse,ToriAnderson,JonathanLangdon,SarayuBlue,JesseRath,AmyPietzDiretorDesconhecidoUnitedStatesRomanticTVShows,TVComedies,TVDramas1SeasonRomanticTVShows,TVComedies,TVDramasSepSepTV-14Tuesday"
55,Saawan,"MovieKaramHussain,ArifBahlim,NajibaFaiz,SaleemMairaj,ImranAslam,DaniyalYousuf,SohailMalik,AliHafizFarhanAlamPakistanDramas,IndependentMovies,InternationalMovies128minDramas,IndependentMovies,InternationalMoviesSepSepTV-14Wednesday"
56,The Heretics,"MovieNinaKiri,RyBarrett,JorjaCadence,WillKing,NinaRichmondChadArchibaldCanadaHorrorMovies88minHorrorMoviesSepSepTV-MAWednesday"
57,The World We Make,"MovieCalebCastille,RoseReid,KevinSizemore,GregoryAlanWilliamsBrianBaughUnitedStatesDramas,RomanticMovies108minDramas,RomanticMoviesSepSepPGWednesday"
58,Watchman,"MovieG.V.PrakashKumar,SamyukthaHegde,Suman,RajArjun,YogiBabu,MunishkanthA.L.VijayIndiaComedies,Dramas,InternationalMovies93minComedies,Dramas,InternationalMoviesSepSepTV-14Wednesday"
59,Black Panther,"MovieChadwickBoseman,MichaelB.Jordan,LupitaNyong'o,DanaiGurira,MartinFreeman,DanielKaluuya,LetitiaWright,WinstonDuke,SterlingK.Brown,AngelaBassett,ForestWhitaker,AndySerkis,FlorenceKasumba,JohnKani,DavidS.Lee,StanLeeRyanCooglerUnitedStatesAction&Adventure,Sci-Fi&Fantasy135minAction&Adventure,Sci-Fi&FantasySepSepPG-13Tuesday"
60,Man Up,"MovieLakeBell,SimonPegg,OpheliaLovibond,OliviaWilliams,RoryKinnear,HenryLloyd-Hughes,KenStott,SharonHorgan,HarrietWalter,StephenCampbellMoore,Dean-CharlesChapman,PhoebeWaller-BridgeBenPalmerUnitedKingdom,FranceComedies,InternationalMovies,RomanticMovies88minComedies,InternationalMovies,RomanticMoviesSepSepRTuesday"
61,Frequency,"TV ShowPeytonList,RileySmith,MekhiPhifer,DevinKelley,LennyJacobson,DanielBonjour,AnthonyRuivivarDiretorDesconhecidoUnitedStatesCrimeTVShows,TVDramas,TVMysteries1SeasonCrimeTVShows,TVDramas,TVMysteriesSepSepTV-14Monday"
62,Mo Gilligan: Momentum,MovieMoGilliganChrisHoweUnitedKingdomStand-UpComedy64minStand-UpComedySepSepTV-MAMonday
63,Adam Ruins Everything,"TV ShowAdamConover,AdamLustick,EmilyAxfordDiretorDesconhecidoUnitedStatesTVComedies1SeasonTVComediesSepSepTV-14Sunday"
64,Ben 10,"TV ShowTaraStrong,MontseHernandez,DavidKaye,RogerCraigSmith,ToddHaberkorn,DwightSchultz,DarylSabaraDiretorDesconhecidoUnitedStatesKids'TV1SeasonKids'TVSepSepTV-Y7Sunday"
65,Big Miracle,"MovieDrewBarrymore,JohnKrasinski,KristenBell,DermotMulroney,TimBlakeNelson,VinessaShaw,TedDanson,StephenRoot,RobRiggle,MichaelGastonKenKwapisUnitedStates,UnitedKingdomChildren&FamilyMovies,Dramas107minChildren&FamilyMovies,DramasSepSepPGSunday"
66,Christiane Amanpour: Sex & Love Around the World,TV ShowElencoDesconhecidoDiretorDesconhecidoUnitedStatesDocuseries1SeasonDocuseriesSepSepTV-MASunday
67,The Eighties,TV ShowElencoDesconhecidoDiretorDesconhecidoUnitedStatesDocuseries1SeasonDocuseriesSepSepTV-PGSunday
68,The Nineties,TV ShowElencoDesconhecidoDiretorDesconhecidoUnitedStatesDocuseries1SeasonDocuseriesSepSepTV-14Sunday
69,The Seventies,TV ShowElencoDesconhecidoDiretorDesconhecidoUnitedStatesDocuseries1SeasonDocuseriesSepSepTV-PGSunday
70,We Bare Bears,"TV ShowEricEdelstein,DemetriMartin,BobbyMoynihanDiretorDesconhecidoUnitedStatesKids'TV,TVComedies1SeasonKids'TV,TVComediesSepSepTV-Y7Sunday"
71,The Mayor,"MovieMin-sikChoi,Do-wonKwak,Eun-kyungShim,So-riMoon,Mi-ranRa,Hye-youngRyu,KiHongLee,Sun-gyuJin,Joo-yeonLee,Byeong-eunParkParkIn-jeSouthKoreaDramas,InternationalMovies130minDramas,InternationalMoviesSepSepTV-MASaturday"
72,The Royal House of Windsor,"TV ShowElencoDesconhecidoDiretorDesconhecidoUnitedKingdomBritishTVShows,Docuseries,InternationalTVShows1SeasonBritishTVShows,Docuseries,InternationalTVShowsSepSepTV-14Saturday"
